,location,total_sqft,bath,price,bhk
224,8th Phase JP Nagar,1200.0,4.0,270.0,4
225,8th Phase JP Nagar,1062.0,2.0,42.47,2
226,8th Phase JP Nagar,500.0,1.0,33.0,1
227,8th Phase JP Nagar,1098.0,2.0,43.91,2
228,8th Phase JP Nagar,1431.5,3.0,72.02,3
229,8th Phase JP Nagar,500.0,1.0,31.0,1
230,8th Phase JP Nagar,1200.0,4.0,145.0,4
231,8th Phase JP Nagar,1059.0,2.0,34.5,2
232,8th Phase JP Nagar,1455.0,3.0,73.31,3
233,8th Phase JP Nagar,1046.0,2.0,48.0,2
234,8th Phase JP Nagar,3300.0,3.0,165.0,3
235,8th Phase JP Nagar,950.0,3.0,130.0,3
236,8th Phase JP Nagar,1510.0,2.0,80.0,2
237,8th Phase JP Nagar,500.0,1.0,30.0,1
238,8th Phase JP Nagar,1089.0,2.0,43.55,2
239,8th Phase JP Nagar,871.0,2.0,55.0,2
240,8th Phase JP Nagar,1900.0,4.0,90.0,3
241,8th Phase JP Nagar,1006.0,2.0,44.0,2
242,8th Phase JP Nagar,1125.0,2.0,36.94,2
243,8th Phase JP Nagar,1073.5,2.0,54.005,2
244,8th Phase JP Nagar,1080.0,2.0,35.0,2
245,8th Phase JP Nagar,1035.0,2.0,39.33,2
246,8th Phase JP Nagar,1200.0,3.0,110.0,4
247,8th Phase JP Nagar,1408.0,3.0,80.0,3
248,8th Phase JP Nagar,1504.0,2.0,83.0,3
249,8th Phase JP Nagar,1245.0,2.0,59.0,2
250,8th Phase JP Nagar,1062.0,2.0,42.47,2
251,8th Phase JP Nagar,1800.0,4.0,230.0,4
252,8th Phase JP Nagar,1513.0,2.0,62.0,2
253,8th Phase JP Nagar,451.0,1.0,29.9,1
254,8th Phase JP Nagar,1089.0,2.0,43.55,2
255,8th Phase JP Nagar,1100.0,2.0,35.0,2
256,8th Phase JP Nagar,1298.0,2.0,59.0,2
257,8th Phase JP Nagar,909.0,2.0,40.9,2
258,8th Phase JP Nagar,1200.0,4.0,140.0,4
259,8th Phase JP Nagar,1080.0,2.0,38.0,2
260,8th Phase JP Nagar,1100.0,2.0,35.0,2
261,8th Phase JP Nagar,1800.0,3.0,80.0,3
262,9th Phase JP Nagar,1100.0,2.0,65.0,2
263,9th Phase JP Nagar,1080.0,2.0,37.0,2
264,9th Phase JP Nagar,1050.0,2.0,39.0,2
265,9th Phase JP Nagar,1035.0,2.0,45.0,2
266,9th Phase JP Nagar,3500.0,4.0,300.0,4
267,9th Phase JP Nagar,1480.0,2.0,80.0,2
268,9th Phase JP Nagar,1200.0,3.0,188.0,4
269,9th Phase JP Nagar,5000.0,4.0,300.0,4
270,9th Phase JP Nagar,1164.0,2.0,56.0,2
271,9th Phase JP Nagar,1719.3,2.0,88.0,3
272,9th Phase JP Nagar,1127.0,2.0,50.0,2
273,9th Phase JP Nagar,600.0,1.0,20.0,1
274,9th Phase JP Nagar,1005.0,2.0,43.0,2
275,9th Phase JP Nagar,1073.0,2.0,52.36,2
276,9th Phase JP Nagar,1331.95,2.0,69.0,2
277,9th Phase JP Nagar,1780.0,3.0,88.0,3
278,9th Phase JP Nagar,905.0,2.0,32.0,2
279,9th Phase JP Nagar,835.0,2.0,37.0,2
280,9th Phase JP Nagar,1200.0,2.0,80.0,2
281,9th Phase JP Nagar,660.0,2.0,27.0,2
282,9th Phase JP Nagar,1522.0,3.0,90.0,3
283,9th Phase JP Nagar,1050.0,2.0,35.0,2
284,9th Phase JP Nagar,1890.0,2.0,93.0,3
285,9th Phase JP Nagar,1466.0,2.0,71.0,2
286,9th Phase JP Nagar,5000.0,4.0,290.0,4
287,9th Phase JP Nagar,890.0,2.0,45.0,2
288,9th Phase JP Nagar,1005.0,2.0,42.0,2
289,9th Phase JP Nagar,1005.0,2.0,50.0,2
290,9th Phase JP Nagar,1079.0,2.0,60.0,2
291,AECS Layout,1123.0,2.0,64.0,2
292,AECS Layout,1135.0,2.0,68.0,2
293,AECS Layout,1005.0,2.0,55.0,2
294,AECS Layout,1100.0,2.0,45.0,2
295,AECS Layout,1080.0,2.0,55.0,2
296,AECS Layout,1620.0,3.0,98.0,3
297,AECS Layout,1308.0,2.0,60.0,2
298,AECS Layout,1045.0,2.0,36.58,2
299,AECS Layout,1028.0,2.0,42.0,2
300,AECS Layout,1199.0,2.0,65.0,2
301,Abbigere,880.0,2.0,35.0,2
302,Abbigere,985.0,2.0,38.92,2
303,Abbigere,2500.0,6.0,81.0,6
304,Abbigere,795.0,1.0,32.6,2
305,Abbigere,985.0,2.0,40.39,2
306,Abbigere,1005.0,2.0,39.59,2
307,Abbigere,2200.0,6.0,68.0,6
308,Abbigere,795.0,2.0,32.54,2
309,Abbigere,1130.0,2.0,46.33,2
310,Abbigere,765.0,2.0,30.0,1
311,Abbigere,734.0,1.0,19.82,1
312,Abbigere,795.0,2.0,32.54,2
313,Abbigere,3000.0,8.0,150.0,8
314,Abbigere,985.0,2.0,40.39,2
315,Abbigere,1000.0,2.0,41.0,2
316,Abbigere,1020.0,2.0,41.82,2
317,Abbigere,1200.0,3.0,120.0,4
318,Abbigere,1020.0,2.0,40.8,2
319,Abbigere,995.0,2.0,40.8,2
320,Akshaya Nagar,1690.0,3.0,85.0,3
321,Akshaya Nagar,1666.0,3.0,95.0,3
322,Akshaya Nagar,1420.0,2.0,75.0,3
323,Akshaya Nagar,1897.0,4.0,93.0,3
324,Akshaya Nagar,1700.0,3.0,80.0,3
325,Akshaya Nagar,1200.0,4.0,125.0,4
326,Akshaya Nagar,1126.0,2.0,55.0,2
327,Akshaya Nagar,1662.0,3.0,85.5,3
328,Akshaya Nagar,1421.0,2.0,73.0,3
329,Akshaya Nagar,1434.0,3.0,84.0,3
330,Akshaya Nagar,1300.0,2.0,54.0,2
331,Akshaya Nagar,1690.0,3.0,85.0,3
332,Akshaya Nagar,1410.0,2.0,80.0,3
333,Akshaya Nagar,1410.0,4.0,160.0,4
334,Akshaya Nagar,1100.0,2.0,48.0,2
335,Akshaya Nagar,1200.0,2.0,50.0,2
336,Akshaya Nagar,1412.0,2.0,88.0,3
337,Akshaya Nagar,1820.0,4.0,95.0,3
338,Akshaya Nagar,1430.0,2.0,75.0,3
339,Akshaya Nagar,2061.0,4.0,175.0,3
340,Akshaya Nagar,1896.0,3.0,102.0,3
341,Akshaya Nagar,1388.0,2.0,57.0,2
342,Akshaya Nagar,1000.0,2.0,38.0,2
343,Akshaya Nagar,1690.0,3.0,85.0,3
344,Akshaya Nagar,900.0,2.0,45.0,2
345,Akshaya Nagar,1419.0,2.0,87.0,3
346,Akshaya Nagar,1179.0,2.0,51.0,2
347,Akshaya Nagar,1884.0,3.0,98.0,3
348,Akshaya Nagar,1897.0,3.0,120.0,3
349,Akshaya Nagar,1092.0,2.0,60.0,2
350,Akshaya Nagar,1265.0,2.0,67.0,2
351,Akshaya Nagar,1113.0,2.0,52.0,2
352,Akshaya Nagar,1662.0,3.0,85.0,3
353,Akshaya Nagar,1280.0,2.0,60.0,2
354,Akshaya Nagar,1476.0,3.0,120.0,3
355,Akshaya Nagar,2000.0,1.0,200.0,1
356,Akshaya Nagar,1410.0,2.0,75.0,3
357,Akshaya Nagar,1419.0,2.0,73.0,3
358,Akshaya Nagar,1575.0,3.0,90.0,3
359,Akshaya Nagar,2650.0,3.0,125.0,3
360,Akshaya Nagar,1200.0,2.0,45.0,2
361,Akshaya Nagar,1280.0,2.0,60.0,2
362,Akshaya Nagar,2061.0,3.0,200.0,3
363,Akshaya Nagar,1662.0,3.0,85.1,3
364,Akshaya Nagar,1300.0,2.0,66.0,2
365,Akshaya Nagar,1070.0,2.0,54.0,2
366,Akshaya Nagar,1360.0,2.0,85.0,3
367,Akshaya Nagar,1314.0,2.0,68.8,2
368,Akshaya Nagar,1890.0,4.0,100.0,3
369,Akshaya Nagar,1893.0,4.0,95.0,3
370,Akshaya Nagar,1280.0,2.0,58.0,2
371,Akshaya Nagar,1662.0,3.0,90.0,3
372,Akshaya Nagar,1225.0,2.0,68.0,2
373,Akshaya Nagar,2061.0,3.0,175.0,3
374,Akshaya Nagar,1720.0,3.0,134.0,3
375,Ambalipura,1150.0,2.0,80.0,2
376,Ambalipura,950.0,2.0,31.95,2
377,Ambalipura,1390.0,2.0,175.0,3
378,Ambalipura,1250.0,2.0,66.25,2
379,Ambalipura,1607.0,2.0,112.0,3
380,Ambalipura,1615.0,2.0,150.0,3
381,Ambalipura,896.0,2.0,30.13,2
382,Ambalipura,1303.0,2.0,80.0,2
383,Ambalipura,1800.0,3.0,110.0,3
384,Ambalipura,1060.0,2.0,58.5,2
385,Ambalipura,1332.0,2.0,79.0,2
386,Ambalipura,1351.0,2.0,77.0,2
387,Ambalipura,1198.0,2.0,80.0,2
388,Ambalipura,1607.0,2.0,112.0,3
389,Ambalipura,3300.0,4.0,329.0,4
390,Ambalipura,1700.0,2.0,76.0,2
391,Ambalipura,1105.0,2.0,75.0,2
392,Ambalipura,1817.0,3.0,102.0,3
393,Ambalipura,1650.0,3.0,100.0,3
394,Ambalipura,770.0,1.0,43.82,1
395,Ambalipura,860.0,2.0,28.93,2
396,Ambalipura,3500.0,3.0,198.0,3
397,Ambalipura,1730.0,3.0,120.0,3
398,Ambalipura,1625.0,2.0,145.0,3
399,Ambalipura,1230.0,2.0,66.25,2
400,Ambedkar Nagar,2900.0,3.0,300.0,4
401,Ambedkar Nagar,1856.0,3.0,120.0,3
402,Ambedkar Nagar,1950.0,4.0,120.0,3
403,Ambedkar Nagar,5000.0,4.0,536.0,4
404,Ambedkar Nagar,3500.0,4.0,550.0,4
405,Ambedkar Nagar,1852.0,4.0,122.0,3
406,Ambedkar Nagar,3565.0,4.0,255.0,4
407,Ambedkar Nagar,1424.0,2.0,90.0,2
408,Ambedkar Nagar,2225.0,4.0,169.0,3
409,Ambedkar Nagar,5530.0,5.0,627.0,5
410,Ambedkar Nagar,1921.0,4.0,129.0,3
411,Ambedkar Nagar,1425.0,2.0,94.0,2
412,Ambedkar Nagar,1936.0,4.0,126.0,3
413,Ambedkar Nagar,3530.0,4.0,290.0,4
414,Ambedkar Nagar,1850.0,4.0,139.0,3
415,Ambedkar Nagar,1367.0,2.0,86.0,2
416,Ambedkar Nagar,2395.0,4.0,150.0,3
417,Ambedkar Nagar,1935.0,4.0,125.0,3
418,Ambedkar Nagar,1850.0,4.0,121.0,3
419,Ambedkar Nagar,1409.0,2.0,95.0,2
420,Ambedkar Nagar,1850.0,4.0,120.0,3
421,Ambedkar Nagar,1920.0,4.0,121.0,3
422,Ambedkar Nagar,1935.0,4.0,130.0,3
423,Ambedkar Nagar,1862.0,3.0,120.0,3
424,Ambedkar Nagar,2150.0,4.0,125.0,3
425,Ambedkar Nagar,2900.0,3.0,297.0,3
426,Ambedkar Nagar,1862.0,3.0,119.0,3
427,Ambedkar Nagar,1852.0,3.0,125.0,3
428,Ambedkar Nagar,1424.0,2.0,90.0,2
429,Ambedkar Nagar,1852.0,3.0,130.0,3
430,Ambedkar Nagar,1950.0,4.0,120.0,3
431,Amruthahalli,1190.0,2.0,50.0,2
432,Amruthahalli,4400.0,3.0,475.0,2
433,Amruthahalli,1200.0,2.0,55.0,2
434,Amruthahalli,485.0,1.0,19.5,1
435,Amruthahalli,1025.0,2.0,42.0,2
436,Amruthahalli,900.0,2.0,40.0,2
437,Amruthahalli,1100.0,2.0,45.0,2
438,Amruthahalli,924.0,2.0,45.0,2
439,Amruthahalli,1250.0,2.0,79.0,2
440,Amruthahalli,1202.0,2.0,65.0,2
441,Amruthahalli,1200.0,2.0,55.0,2
442,Amruthahalli,1450.0,2.0,85.0,3
443,Amruthahalli,1900.0,3.0,135.0,3
444,Amruthahalli,900.0,2.0,60.0,2
445,Amruthahalli,1200.0,5.0,200.0,3
446,Amruthahalli,2650.0,4.0,175.0,3
447,Amruthahalli,1450.0,2.0,90.0,3
448,Amruthahalli,1200.0,2.0,55.0,2
449,Amruthahalli,1340.0,2.0,75.0,2
450,Amruthahalli,600.0,1.0,55.0,1
451,Anandapura,1141.0,2.0,42.75,2
452,Anandapura,1749.0,4.0,90.0,4
453,Anandapura,1151.0,2.0,43.1,2
454,Anandapura,1415.0,2.0,74.0,3
455,Anandapura,1200.0,2.0,58.0,2
456,Anandapura,616.0,3.0,45.0,2
457,Anandapura,1151.0,2.0,42.9,2
458,Anandapura,1000.0,2.0,55.0,2
459,Anandapura,1475.0,2.0,50.0,4
460,Anandapura,1141.0,2.0,42.79,2
461,Anandapura,875.0,2.0,57.0,2
462,Anandapura,1141.0,2.0,50.0,2
463,Anandapura,1200.0,2.0,50.0,2
464,Anandapura,1200.0,2.0,67.0,2
465,Anandapura,900.0,2.0,64.0,2
466,Anandapura,1167.0,2.0,43.76,2
467,Anandapura,900.0,2.0,48.0,2
468,Anandapura,1200.0,2.0,58.0,2
469,Anandapura,1250.0,2.0,45.0,2
470,Anandapura,1151.0,2.0,43.16,2
471,Anandapura,1200.0,2.0,66.0,3
472,Ananth Nagar,902.0,2.0,25.0,2
473,Ananth Nagar,1010.0,2.0,38.0,2
474,Ananth Nagar,500.0,1.0,14.0,1
475,Ananth Nagar,982.0,2.0,24.55,2
476,Ananth Nagar,500.0,1.0,14.0,1
477,Ananth Nagar,1000.0,2.0,29.7,2
478,Ananth Nagar,1200.0,3.0,87.0,4
479,Ananth Nagar,900.0,2.0,22.5,2
480,Ananth Nagar,870.0,2.0,36.0,2
481,Ananth Nagar,1200.0,2.0,36.0,2
482,Ananth Nagar,937.0,2.0,35.0,2
483,Ananth Nagar,500.0,1.0,14.0,1
484,Ananth Nagar,850.0,2.0,25.99,2
485,Ananth Nagar,930.0,2.0,25.99,2
486,Ananth Nagar,1000.0,2.0,25.0,2
487,Ananth Nagar,908.0,2.0,26.0,2
488,Ananth Nagar,890.0,2.0,27.0,2
489,Ananth Nagar,1109.0,2.0,60.0,2
490,Ananth Nagar,902.0,2.0,25.26,2
491,Ananth Nagar,992.0,2.0,24.8,2
492,Ananth Nagar,500.0,2.0,14.0,1
493,Ananth Nagar,1074.0,2.0,26.85,2
494,Ananth Nagar,1100.0,2.0,31.5,2
495,Ananth Nagar,1319.0,3.0,42.0,3
496,Ananth Nagar,810.0,2.0,25.5,2
497,Ananth Nagar,1200.0,2.0,65.0,3
498,Ananth Nagar,1470.0,3.0,54.0,3
499,Ananth Nagar,960.0,2.0,37.0,2
500,Anekal,1140.0,2.0,52.0,2
501,Anekal,1800.0,3.0,68.0,3
502,Anekal,967.0,2.0,45.0,3
503,Anekal,925.0,2.0,40.0,2
504,Anekal,351.0,1.0,16.0,1
505,Anekal,620.0,1.0,23.5,2
506,Anekal,530.0,1.0,18.0,1
507,Anekal,997.0,3.0,55.0,3
508,Anekal,1035.0,2.0,38.3,2
509,Anekal,625.0,1.0,25.0,2
